24.62207,-82.8299,,,,"24.62207,-82.8299,#000000"
24.62442,-82.96305,,,,"24.62442,-82.96305,#000000"
24.61817,-82.86556,,,,"24.61817,-82.86556,#000000"
24.62338,-82.8331,,,,"24.62338,-82.8331,#000000"
24.62334,-82.83302,,,,"24.62334,-82.83302,#000000"
24.62691,-82.85545,,,,"24.62691,-82.85545,#000000"
24.62705,-82.8376,,,,"24.62705,-82.8376,#000000"
24.62714,-82.83747,,,,"24.62714,-82.83747,#000000"
24.65159,-82.786,,,,"24.65159,-82.786,#000000"
24.66346,-82.77381,,,,"24.66346,-82.77381,#000000"
24.72117,-82.83505,,,,"24.72117,-82.83505,#000000"
24.59859,-82.91606,,,,"24.59859,-82.91606,#000000"
24.5891,-82.89432,,,,"24.5891,-82.89432,#000000"
24.68924,-82.77551,,,,"24.68924,-82.77551,#000000"
24.57995,-82.93577,,,,"24.57995,-82.93577,#000000"
24.57984,-82.93565,,,,"24.57984,-82.93565,#000000"
24.5811,-82.88802,,,,"24.5811,-82.88802,#000000"
24.58103,-82.88788,,,,"24.58103,-82.88788,#000000"
24.65531,-82.78445,,,,"24.65531,-82.78445,#000000"
24.57244,-82.97634,,,,"24.57244,-82.97634,#000000"
24.57776,-82.95252,,,,"24.57776,-82.95252,#000000"
24.58317,-82.9318,,,,"24.58317,-82.9318,#000000"
24.58551,-82.93282,,,,"24.58551,-82.93282,#000000"
24.58609,-82.98675,,,,"24.58609,-82.98675,#000000"
24.58704,-82.91014,,,,"24.58704,-82.91014,#000000"
24.59565,-82.96483,,,,"24.59565,-82.96483,#000000"
24.59831,-82.95896,,,,"24.59831,-82.95896,#000000"
24.57074,-82.90636,,,,"24.57074,-82.90636,#000000"
24.5707,-82.90625,,,,"24.5707,-82.90625,#000000"
24.63096,-82.9688,,,,"24.63096,-82.9688,#000000"
24.6309,-82.96887,,,,"24.6309,-82.96887,#000000"
24.62958,-82.9655,,,,"24.62958,-82.9655,#000000"
24.65695,-82.93368,,,,"24.65695,-82.93368,#000000"
24.65862,-82.93813,,,,"24.65862,-82.93813,#000000"
24.66907,-82.92787,,,,"24.66907,-82.92787,#000000"
24.66931,-82.92805,,,,"24.66931,-82.92805,#000000"
24.6703,-82.92753,,,,"24.6703,-82.92753,#000000"
