time,latitude,longitude,depth,species_nr,scientific_name,common_name,length_fish,number_seen
2014-06-05T00:00:00Z,24.70028,-83.00645,27.4,706,Haemulon sp.,grunt species,3,7
2014-06-05T00:00:00Z,24.70084,-83.00536,28,706,Haemulon sp.,grunt species,2,20
2014-06-05T00:00:00Z,24.70084,-83.00536,28,706,Haemulon sp.,grunt species,3,63
2014-07-26T00:00:00Z,24.58638,-82.9124,9.8,706,Haemulon sp.,grunt species,3,2
2014-07-20T00:00:00Z,24.62984,-82.83579,8.8,706,Haemulon sp.,grunt species,2,3
2014-07-20T00:00:00Z,24.62995,-82.83599,8.5,706,Haemulon sp.,grunt species,4,4
2014-07-24T00:00:00Z,24.63124,-82.87689,3.6,706,Haemulon sp.,grunt species,3,11
2014-07-24T00:00:00Z,24.63124,-82.87689,3.6,706,Haemulon sp.,grunt species,4,23
2014-07-24T00:00:00Z,24.63124,-82.87689,3.6,706,Haemulon sp.,grunt species,4,11
2014-07-24T00:00:00Z,24.63124,-82.87689,3.6,706,Haemulon sp.,grunt species,5,1
2014-07-24T00:00:00Z,24.63124,-82.87689,3.6,706,Haemulon sp.,grunt species,6,1
2014-06-06T00:00:00Z,24.66353,-82.83729,6,706,Haemulon sp.,grunt species,6,10
2014-06-06T00:00:00Z,24.66353,-82.83729,6,706,Haemulon sp.,grunt species,6,2
2014-06-06T00:00:00Z,24.66384,-82.83739,14,706,Haemulon sp.,grunt species,3,1
2014-06-06T00:00:00Z,24.66384,-82.83739,14,706,Haemulon sp.,grunt species,4,3
2014-06-06T00:00:00Z,24.66384,-82.83739,14,706,Haemulon sp.,grunt species,5,1
2014-07-26T00:00:00Z,24.56598,-82.93073,12.8,706,Haemulon sp.,grunt species,4,1
2014-06-06T00:00:00Z,24.67193,-82.82287,8.5,706,Haemulon sp.,grunt species,3,1
2014-06-06T00:00:00Z,24.67193,-82.82287,8.5,706,Haemulon sp.,grunt species,4,3
2014-06-06T00:00:00Z,24.67193,-82.82287,8.5,706,Haemulon sp.,grunt species,5,1
2014-07-24T00:00:00Z,24.69128,-82.8434,8.8,706,Haemulon sp.,grunt species,4,1
2014-07-24T00:00:00Z,24.69128,-82.8434,8.8,706,Haemulon sp.,grunt species,4,36
2014-07-24T00:00:00Z,24.69128,-82.8434,8.8,706,Haemulon sp.,grunt species,5,75
2014-07-24T00:00:00Z,24.69128,-82.8434,8.8,706,Haemulon sp.,grunt species,5,36
